code,name,r,g,b
3D0247,SECRET TREASURE,180,149,110
3D0863,FROTENAC HILLS,167,185,101
3D0862,GLORY OF SPRING,181,196,113
6T1205,PERIWINKLE POSE,143,162,190
6T1197,COLOR OF DREAMS,140,160,193
3D0823,GREEN BANANAS,206,184,87
3D0254,FERN FROST,195,189,107
6T1213,BRIGHT PERIWINKLE,144,160,195
3D0243,GOLDEN SILK,213,172,109
4T0925,GARDEN PARADISE,136,210,163
3D0783,GOLDEN HAYSTACK,223,183,87
4T0909,IRISH MOSS,163,202,159
3D0242,GO FOR THE GOLD,214,184,121
6T1237,HEATHER GLEN,155,165,206
4T0917,ALLIGATOR ALLEY,145,218,162
3D0236,ORANGE CHARM,243,172,69
6T0310,ASYSTASIA,201,142,190
3T0246,PICNIC MAT,200,185,161
4T0885,LOCKNESS,183,210,150
3D0822,WINTER GRASS,219,201,109
7P0192,TOUCHSTONE,197,188,171
6T1204,KIND OF BLUE,165,181,205
4P0096,BELLA MINT,171,211,174
4P0262,LILIES' ESSENCE,201,204,155
3T0861,SPRING ATTITUDE,197,213,148
6T1212,VIOLET VALUE,167,181,209
6T1228,PETITE PURPLE,163,181,213
4T0893,LEAFY SPLENDOR,185,221,155
3D0782,SUNFLOWER PETAL,237,199,107
7P0338,POTTERY,219,186,164
2P0037,MACADAMIA TOAST,215,192,163
7P0191,LIGHT MURALS,203,194,178
4T0908,BREATH OF SPRING,182,215,175
6T1236,SPRING VIOLETS,174,182,213
1P0024,LARKSPUR,213,185,179
6T1220,LADY LAVENDER,170,184,216
4T0924,DOGWOOD LEAF,162,223,185
6T0309,AROMATIC FLORAL,197,180,200
6T1244,SIMPLY LILAC,178,184,213
4T0274,AQUA ESSENCE,164,213,197
4T0916,SNAPPY GREEN,167,227,179
5P0144,FRESQUE,149,202,216
8P2674,TECHNO GREY,183,197,200
2P0040,SOURDOUGH,220,190,171
4P0104,TROPICAL STORM,170,217,192
8P0216,DEW MIST,196,198,191
3P0064,TIRAMISU,220,202,163
4P0120,ALPINE GLOW,171,211,201
3T2091,HONEY PIE,231,207,140
7P0189,ORGANIC IVORY,209,198,183
3T0829,OLIVE OIL,220,218,145
2T0226,CHIFFON SOUFFLE,248,194,135
7P0341,WARM SHAWL,211,199,184
5P0128,AQUA FLIP,151,212,217
3T0235,BRIGHT IDEA,253,199,115
3T2086,YELLOW TART,233,210,142
1P0318,PINK GLIMMER,218,186,191
2T0588,GINGER PEACH,239,196,154
3T0821,YELLOW RIVER,230,215,142
4P0095,ANASTASIA,187,220,188
8P2550,DRIED ROSE,218,195,185
4T0884,SPRING FLING,202,223,171
8P0215,GENTLE DAWN,194,204,200
5P0136,AQUA CHILL,145,213,223
3T2072,ROYAL ARCH,231,209,155
1P0013,MAXI PINK,236,185,176
2P0048,AIRY CREAM,240,198,156
4P0277,DREAMERS,181,209,209
3T0860,PRAIRIE PRINCESS,211,224,164
8P2529,PALE AMARYLLIS,222,193,188
8P1738,ROSE QUARTZ,214,197,193
5P0143,HEAVENING MIST,146,209,230
6T0306,BO PEEP,237,165,195
7P1658,LITTLE PRECIOUS,227,191,186
1P0222,BUFF APRICOT,242,193,164
7P0190,MINERAL WHITE,214,203,189
4T0892,ENTICING AS SPRING,199,230,174
8P0204,TOPSAIL,205,204,198
7P1650,STELLAR LIGHT,231,191,183
3T0781,GOLDEN TORTILLA,241,213,141
8P1730,STAR GAZER,209,201,198
2P0039,BABY BONNET,228,199,180
2P0036,MOROCCON SAND,227,203,177
3T2071,PIANO BAR,232,212,159
8P0208,POETIC WHITE,206,205,198
4P0112,CABANA BAY,180,217,208
5P0141,SEVEN LAKES,169,206,225
3T0741,LUCKY LUCY,245,211,140
1P0023,LIGHT CAMELIA,225,198,187
6T1195,SAFE PASSAGE,189,199,219
8P2655,WHISTLING STONE,196,209,205
5P0135,MUSE OF THE SEA,168,212,222
6T1203,BIG FALLS,189,201,218
8P2572,DANCING NOTES,215,200,197
8P1754,PATCHOULI,215,199,198
1P0530,SIMPLY SHELL,239,189,180
5P0134,HYPNOTIC,161,218,221
3T0733,DAISY HEART,247,211,140
8P1746,TAUPE TREND,217,201,196
4T0923,GREEN GLEAM,184,229,199
8P1722,WINTER WALTZ,210,205,202
2P0047,CREAM ALLURE,244,202,165
8P0214,GAZEBO,195,209,212
5P0127,BELLA AQUA,174,222,215
6T1243,POETIC PURPLE,198,200,218
1P0032,SPIRITED,228,200,190
3T0828,THE GREAT PLAINS,227,225,162
1P0538,YOUTHFUL DELIGHT,240,195,181
6T1211,LAVENDER LASS,193,202,221
2P0045,IVORY COAST,233,211,173
3T2075,TOUCH OF CLASS,243,221,143
8P1794,SILVER STREAK,201,206,212
5P0133,OPAQUE TEAL,165,219,225
3P0056,A CAPELLO,235,212,170
6T1227,PRINCE CHARMING,190,201,225
8P2714,SOFT KNIT,212,207,202
7P1642,BARE ESSENTIAL,235,198,186
8P2680,OUTER SPACE,207,208,206
8P0205,SNOW BITS,206,208,207
3T2085,YELLOW VEIL,244,217,150
4P0266,ESSENCE TEAL,197,225,198
