code,name,r,g,b
WW 0001,River rapids,243,244,242
WW 0002,Jasmine in her hair,241,241,238
WW 0003,Tip of the iceberg,243,243,240
WW 0004,Wish upon a star,243,242,238
WW 0005,White linen,238,237,233
WW 0006,Popcorn flowers,242,242,236
WW 0007,Introspection,239,239,234
WW 0008,Steamed rice,241,241,234
WW 0009,Soft flour,238,236,235
WW 0010,A gulp of cloud,238,235,233
WW 0011,Murmura,234,234,233
WW 0012,Alabaster,232,230,227
WW 0013,Slate pencil,230,229,230
WW 0014,Rock crystals,235,234,238
WW 0015,Albatross sky,233,233,235
WW 0016,Carnations in bloom,234,232,235
WW 0017,Parfait for lunch,237,234,232
WW 0018,Phosphorescence,236,234,233
WW 0019,Soft bhel,242,240,233
WW 0020,Virgin white,237,233,226
WW 0021,One boiled egg,238,233,228
WW 0022,Bills and receipts,234,230,223
WW 0023,Ole,247,239,230
WW 0024,Malai on top,244,236,228
WW 0025,Picket fence,240,235,225
WW 0026,Steamed idlis,240,233,217
WW 0027,White chocolate pudding,238,233,223
WW 0028,Vanilla essence,235,230,216
WW 0029,Jasmine,245,242,232
WW 0030,Pillowy bread,244,241,232
WW 0031,Cocktail napkins,244,241,231
WW 0032,Squeaky clean,246,240,231
WW 0033,Nawab's kurta,237,237,230
WW 0034,Kora kaagaz,238,234,226
WW 0035,Chantilly lace,240,233,220
WW 0036,Blank sheets,241,235,224
WW 0037,Taj in the moonlight,237,232,226
WW 0038,Starched aprons,234,228,217
WW 0039,Marbled arches,231,225,214
WW 0040,Shared stories,240,227,211
WW 0041,Wimbledon whites,238,233,229
WW 0042,Purana pyaar,242,233,225
WW 0043,Sea shell white,243,232,222
WW 0044,Kerala moon,233,225,210
WW 0045,A dozen eggs,233,232,229
WW 0046,Frozen daiquiri,235,233,231
WW 0047,Poems in marble,239,231,226
WW 0048,Maska bun,239,233,227
WW 0049,Old wedding dress,237,233,232
WW 0050,Cotton seeds,240,234,230
WW 0051,Turkish delight,242,234,225
WW 0052,Antique lace,240,231,226
WW 0053,Soft rajnigandha,240,234,230
WW 0054,Sliced sponge cake,242,233,228
WW 0055,Freshly churned butter,241,231,225
WW 0056,Uncut diamonds,237,227,219
WW 0057,Perfumed hankies,241,234,228
WW 0058,Favourite cotton shirt,241,232,222
WW 0059,Bottled soda,236,227,217
WW 0060,Bread butter sandwich,237,228,215
WW 0061,Kaolin clay,235,229,226
WW 0062,Cashew white,247,235,220
WW 0063,Parchment paper,246,235,220
WW 0064,Rui,243,234,216
WW 0065,Crumpled tissue,243,230,213
WW 0066,Petal soft,233,222,212
WW 0067,Crochet blanket,238,221,208
WW 0068,Peruvian opal,222,203,189
WW 0069,Old paper,246,235,221
WW 0070,Unwritten poem,246,232,224
WW 0071,Mists of steam,234,220,211
WW 0072,Day old sneakers,235,221,212
WW 0073,Pearl earrings,246,237,232
WW 0074,Alfredo sauce,245,235,227
WW 0075,Messenger doves,241,231,221
WW 0076,Candle wax,243,231,218
WW 0077,Sandalwood powder,241,231,211
WW 0078,Clouds of butter,239,226,210
WW 0079,Ice pinnacles,242,226,205
WW 0080,Martian landscape,236,218,189
WW 0081,Whitewashed,246,238,215
WW 0082,Blanched white,246,236,215
WW 0083,12 white lies,246,237,213
WW 0084,Lace doilies,228,217,195
WW 0085,Fish bone white,246,238,218
WW 0086,Frosted glass,245,237,213
WW 0087,Folded swan towels,246,235,210
WW 0088,Beige afternoon,235,225,209
WW 0089,Lily soft,245,239,222
WW 0090,Daylight savings,246,238,219
WW 0091,Bleached cottons,242,233,212
WW 0092,Lotus seeds,238,227,201
WW 0093,Distressed white,246,240,216
WW 0094,Second-hand novel,246,240,216
WW 0095,Poems in old books,243,237,214
WW 0096,Swan feather,242,234,205
WW 0097,Tooth fairy is here,244,242,231
WW 0098,Never let me go,247,241,213
WW 0099,So soft,246,240,211
WW 0100,Morning plans,247,240,204
WW 0101,Pressed in my notebook,243,238,219
WW 0102,Idle banter,244,241,221
WW 0103,Fresh towels,243,240,217
WW 0104,Jeera rice,238,233,211
WW 0105,Swallowed by sighs,243,242,230
WW 0106,Vapour wisps,238,239,224
WW 0107,Baadal,239,237,209
WW 0108,Salt flecked,232,224,193
WW 0109,Kolam geometry,246,241,224
